TIME,OR1,OR2,OR3,deslogin,desoper,despublic,svn,eups,prodbeta,production
Tue Feb 16 13:49:46 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 14:20:00 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 14:50:15 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 15:21:50 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 15:53:31 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 16:26:08 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 16:58:04 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 17:29:52 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 18:01:24 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 18:31:39 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 19:01:53 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 19:33:25 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 20:04:59 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 20:35:13 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 21:05:27 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 21:35:42 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 22:05:58 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 22:36:12 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 23:06:26 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 16 23:38:00 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 00:08:14 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 00:38:28 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 01:08:42 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 01:38:56 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 02:09:10 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 02:39:23 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 03:09:38 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 03:39:51 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 04:10:04 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 04:40:19 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 05:10:37 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 05:40:52 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 06:11:05 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 06:41:21 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 07:11:36 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 07:41:51 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 08:12:05 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 08:42:19 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 09:12:35 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 09:38:48 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 10:08:48 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 10:39:02 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 17 11:09:16 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
